macadress;timestamp;cpu_porcentagem;cpu_ociosa_porcentagem;cpu_usuarios_porcentagem;cpu_sistema_porcentagem;cpu_loadavg;ram_porcentagem;ram_mb;ram_gb;ram_disp_porcentagem;ram_disp_mb;ram_disp_gb;ram_swap_porcentagem;ram_swap_mb;ram_swap_gb;disco_porcentagem;disco_mb;disco_gb;disco_livre_porcentagem;disco_livre_mb;disco_livre_gb;disco_throughput_mbs;disco_throughput_gbs;rede_enviados_mb_;rede_recebidos_mb
10-68-38-9B-8A-08;2025-10-23 20:31:34;95,10;4,90;47,50;44,20;(0.08, 0.02, 0.01);93,20;6909,42;7,69;6,80;503,82;0,49;54,80;7872,08;nu;76,70;186526,13;182,15;23,26;56530,86;55,21;17,11;0,02;961,65;822,77
10-68-38-9B-8A-08;2025-10-23 20:33:53;15,10;84,90;8,10;5,80;(0.1, 0.09, 0.04);95,30;7064,69;7,89;4,70;348,55;0,34;56,30;8076,59;nu;76,70;186537,52;182,17;23,25;56519,48;55,19;1,43;0,00;966,06;832,92
10-68-38-9B-8A-08;2025-10-23 20:34:08;13,50;86,50;6,20;6,20;(0.08, 0.09, 0.04);94,80;7031,44;7,95;5,15;381,80;0,37;56,70;8139,15;nu;76,70;186536,67;182,16;23,25;56520,32;55,20;0,09;0,00;966,49;834,00
10-68-38-9B-8A-08;2025-10-23 20:34:23;14,00;86,00;8,10;5,00;(0.06, 0.08, 0.04);95,30;7063,46;7,94;4,72;349,79;0,34;56,60;8133,45;nu;76,70;186536,98;182,17;23,25;56520,01;55,20;2,65;0,00;966,91;834,93
10-68-38-9B-8A-08;2025-10-23 20:34:53;8,10;91,90;5,00;3,10;(0.04, 0.07, 0.04);96,10;7125,39;7,85;3,88;287,85;0,28;56,00;8040,95;nu;76,70;186536,53;182,16;23,25;56520,47;55,20;3,51;0,00;968,96;837,30
10-68-38-9B-8A-08;2025-10-23 20:35:37;19,80;80,20;11,00;7,60;(0.16, 0.1, 0.05);94,40;6995,95;8,13;5,63;417,30;0,41;58,00;8322,79;nu;76,80;186599,41;182,23;23,23;56457,58;55,13;4,97;0,00;973,00;841,37
10-68-38-9B-8A-08;2025-10-23 20:36:07;16,30;83,70;7,40;8,60;(0.1, 0.09, 0.04);96,20;7132,90;8,05;3,78;280,34;0,27;57,40;8248,24;nu;76,80;186664,02;182,29;23,20;56392,97;55,07;0,52;0,00;974,85;843,74
10-68-38-9B-8A-08;2025-10-23 20:36:36;14,20;85,80;5,80;6,90;(0.06, 0.08, 0.04);94,10;6974,95;8,22;5,91;438,30;0,43;58,60;8419,80;nu;76,80;186728,10;182,35;23,18;56328,90;55,01;26,24;0,03;977,48;845,90
10-68-38-9B-8A-08;2025-10-23 20:36:51;14,90;85,10;6,50;6,90;(0.05, 0.07, 0.04);95,00;7044,30;8,16;4,98;368,95;0,36;58,20;8356,04;nu;76,80;186760,81;182,38;23,16;56296,18;54,98;0,45;0,00;978,86;847,01
10-68-38-9B-8A-08;2025-10-23 20:37:05;8,50;91,50;6,20;1,90;(0.11, 0.09, 0.05);94,00;6969,98;8,11;5,98;443,27;0,43;57,80;8303,25;nu;76,90;186793,06;182,42;23,15;56263,93;54,95;0,77;0,00;979,64;847,13
10-68-38-9B-8A-08;2025-10-23 20:37:33;15,20;84,80;9,70;5,10;(0.07, 0.08, 0.05);95,00;7042,99;8,08;4,99;370,25;0,36;57,60;8273,99;nu;76,90;186856,51;182,48;23,12;56200,49;54,88;3,67;0,00;981,97;847,28
10-68-38-9B-8A-08;2025-10-23 20:37:48;18,50;81,50;6,90;10,00;(0.19, 0.11, 0.06);92,80;6876,61;8,20;7,24;536,63;0,52;58,50;8400,27;nu;76,90;186856,93;182,48;23,12;56200,07;54,88;0,30;0,00;982,99;847,39
10-68-38-9B-8A-08;2025-10-23 20:38:02;14,00;86,00;8,10;5,00;(0.15, 0.1, 0.05);92,50;6856,28;8,19;7,51;556,97;0,54;58,40;8386,18;nu;76,90;186857,19;182,48;23,12;56199,81;54,88;0,72;0,00;983,11;847,46
10-68-38-9B-8A-08;2025-10-23 20:38:17;8,10;91,90;3,50;3,50;(0.11, 0.1, 0.05);92,60;6865,85;8,16;7,38;547,40;0,53;58,20;8360,88;nu;76,90;186891,56;182,51;23,11;56165,43;54,85;1,53;0,00;983,23;847,48
10-68-38-9B-8A-08;2025-10-23 20:38:32;10,90;89,10;5,40;5,40;(0.09, 0.09, 0.05);93,50;6931,12;8,13;6,50;482,12;0,47;58,00;8326,05;nu;76,90;186891,71;182,51;23,11;56165,29;54,85;0,25;0,00;983,31;847,51
10-68-38-9B-8A-08;2025-10-23 20:38:45;12,80;87,20;7,10;4,90;(0.08, 0.09, 0.05);93,50;6928,76;8,13;6,54;484,48;0,47;58,00;8329,94;nu;76,90;186923,91;182,54;23,09;56133,09;54,82;1,51;0,00;983,41;847,52
10-68-38-9B-8A-08;2025-10-23 20:39:14;12,40;87,60;5,40;5,80;(0.05, 0.08, 0.05);93,80;6957,27;8,10;6,15;455,97;0,45;57,70;8289,72;nu;76,90;186923,96;182,54;23,09;56133,04;54,82;0,35;0,00;984,49;847,60
10-68-38-9B-8A-08;2025-10-23 20:39:29;9,20;90,80;4,60;4,20;(0.04, 0.08, 0.05);94,40;7001,59;8,08;5,55;411,66;0,40;57,70;8278,03;nu;76,90;186955,23;182,57;23,08;56101,77;54,79;0,99;0,00;985,81;847,63
10-68-38-9B-8A-08;2025-10-23 20:39:42;14,00;86,00;9,30;4,30;(0.03, 0.07, 0.05);95,60;7090,49;8,06;4,35;322,76;0,32;57,50;8255,61;nu;76,90;186987,41;182,60;23,07;56069,59;54,76;3,58;0,00;987,05;847,71
10-68-38-9B-8A-08;2025-10-23 20:40:12;9,30;90,70;7,40;1,60;(0.02, 0.07, 0.05);94,20;6984,33;8,14;5,79;428,91;0,42;58,00;8334,35;nu;76,90;187019,90;182,64;23,06;56037,10;54,72;0,36;0,00;989,60;847,79
