macadress;timestamp;cpu_porcentagem;cpu_ociosa_porcentagem;cpu_usuarios_porcentagem;cpu_sistema_porcentagem;cpu_loadavg;ram_porcentagem;ram_mb;ram_gb;ram_disp_porcentagem;ram_disp_mb;ram_disp_gb;ram_swap_porcentagem;ram_swap_mb;ram_swap_gb;disco_porcentagem;disco_mb;disco_gb;disco_livre_porcentagem;disco_livre_mb;disco_livre_gb;disco_throughput_mbs;disco_throughput_gbs;rede_enviados_mb_;rede_recebidos_mb
10-68-38-9B-8A-08;2025-11-10 19:26:47;10.4;89.6;3.1;5.8;(0.0, 0.0, 0.0);93.1;6903.99;6.74;6.87;509.25;0.5;62.5;8512.51;8.31;96.9;235498.27;229.98;3.11;7558.73;7.38;0.62;0.0;32.44018077850342;109.38017082214355
10-68-38-9B-8A-08;2025-11-10 19:28:59;39.2;60.8;13.7;22.8;(0.0, 0.0, 0.0);93.9;6958.14;6.8;6.14;455.11;0.44;65.9;8967.19;8.76;96.9;235571.21;230.05;3.08;7485.79;7.31;38.18;0.04;33.54407024383545;114.52839946746826
10-68-38-9B-8A-08;2025-11-10 19:29:59;13.6;86.4;5.1;7.4;(0.19, 0.06, 0.02);91.3;6771.34;6.61;8.66;641.9;0.63;65.4;8902.82;8.69;96.9;235571.19;230.05;3.08;7485.81;7.31;0.88;0.0;33.939024925231934;118.30802822113037
10-68-38-9B-8A-08;2025-11-10 19:32:16;12.7;87.3;4.6;6.5;(0.14, 0.1, 0.04);92.0;6817.09;6.66;8.04;596.15;0.58;65.0;8846.77;8.64;96.9;235605.52;230.08;3.07;7451.48;7.28;1.95;0.0;34.68849468231201;123.0526647567749
10-68-38-9B-8A-08;2025-11-10 19:32:44;91.8;8.2;36.7;50.9;(0.09, 0.09, 0.04);95.0;7044.57;6.88;4.97;368.68;0.36;66.2;9007.59;8.8;96.9;235636.76;230.11;3.05;7420.23;7.25;138.19;0.13;34.80214214324951;123.9089002609253
10-68-38-9B-8A-08;2025-11-10 19:33:16;29.1;70.9;3.4;23.8;(0.05, 0.08, 0.04);92.4;6852.27;6.69;7.57;560.98;0.55;67.2;9149.38;8.93;97.0;235677.09;230.15;3.04;7379.91;7.21;1.1;0.0;34.906813621520996;124.68223094940186
10-68-38-9B-8A-08;2025-11-10 19:33:44;8.1;91.9;2.3;4.6;(0.03, 0.08, 0.04);95.3;7064.04;6.9;4.71;349.21;0.34;66.2;9013.79;8.8;97.0;235709.48;230.19;3.02;7347.51;7.18;7.76;0.01;35.018311500549316;125.47989845275879
10-68-38-9B-8A-08;2025-11-10 19:34:12;7.4;92.6;3.1;3.5;(0.02, 0.07, 0.04);95.1;7046.93;6.88;4.94;366.32;0.36;65.3;8885.06;8.68;97.0;235769.09;230.24;3.0;7287.9;7.12;4.52;0.0;35.13507652282715;126.26176834106445
10-68-38-9B-8A-08;2025-11-10 19:34:36;96.9;3.1;24.6;63.7;(0.01, 0.06, 0.04);96.8;7176.95;7.01;3.19;236.29;0.23;63.9;8703.94;8.5;97.0;235801.79;230.28;2.98;7255.21;7.09;173.07;0.17;35.236008644104004;127.01877212524414
10-68-38-9B-8A-08;2025-11-10 19:35:00;24.7;75.3;15.4;8.5;(0.23, 0.11, 0.05);93.6;6942.09;6.78;6.36;471.15;0.46;64.3;8750.51;8.55;97.0;235802.92;230.28;2.98;7254.08;7.08;47.9;0.05;35.484368324279785;128.28009414672852
10-68-38-9B-8A-08;2025-11-10 19:35:26;5.4;94.6;1.2;3.9;(0.15, 0.1, 0.05);89.9;6668.14;6.51;10.05;745.11;0.73;65.4;8898.6;8.69;97.0;235803.21;230.28;2.98;7253.79;7.08;4.33;0.0;35.637192726135254;129.58569526672363
10-68-38-9B-8A-08;2025-11-10 19:35:50;7.8;92.2;2.4;5.1;(0.1, 0.09, 0.05);89.9;6665.84;6.51;10.08;747.41;0.73;65.1;8864.58;8.66;97.0;235835.69;230.31;2.97;7221.31;7.05;0.91;0.0;35.80297660827637;130.90869903564453
10-68-38-9B-8A-08;2025-11-10 19:36:13;9.7;90.3;3.1;6.2;(0.06, 0.08, 0.05);89.3;6622.82;6.47;10.66;790.42;0.77;64.9;8831.74;8.62;97.0;235836.0;230.31;2.97;7220.99;7.05;0.36;0.0;35.941473960876465;131.8029375076294
10-68-38-9B-8A-08;2025-11-10 19:36:36;29.3;70.7;4.5;22.2;(0.05, 0.08, 0.05);91.4;6779.17;6.62;8.55;634.08;0.62;64.3;8754.02;8.55;97.0;235836.28;230.31;2.97;7220.71;7.05;123.7;0.12;36.046000480651855;132.70561027526855
10-68-38-9B-8A-08;2025-11-10 19:37:01;3.8;96.2;2.3;1.1;(0.03, 0.07, 0.05);92.9;6885.9;6.72;7.11;527.34;0.51;63.9;8698.37;8.49;97.0;235837.04;230.31;2.97;7219.96;7.05;0.59;0.0;36.188178062438965;133.56010818481445
10-68-38-9B-8A-08;2025-11-10 19:37:24;31.1;68.9;24.5;5.9;(0.02, 0.07, 0.05);94.4;7001.69;6.84;5.55;411.55;0.4;63.1;8590.31;8.39;97.0;235869.09;230.34;2.96;7187.91;7.02;7.44;0.01;36.32283115386963;134.72645568847656
10-68-38-9B-8A-08;2025-11-10 19:37:47;6.2;93.8;3.1;2.0;(0.01, 0.06, 0.04);94.4;6997.94;6.83;5.6;415.3;0.41;63.1;8590.0;8.39;97.0;235867.31;230.34;2.96;7189.69;7.02;2.41;0.0;36.44730854034424;135.2423963546753
10-68-38-9B-8A-08;2025-11-10 19:38:10;16.0;84.0;6.2;7.8;(0.01, 0.06, 0.04);90.5;6707.32;6.55;9.52;705.92;0.69;63.8;8681.77;8.48;97.0;235875.68;230.35;2.95;7181.32;7.01;15.94;0.02;36.5868616104126;135.88989067077637
10-68-38-9B-8A-08;2025-11-10 19:38:34;5.8;94.2;3.9;1.6;(0.01, 0.05, 0.04);92.8;6875.91;6.71;7.25;537.33;0.52;62.3;8482.75;8.28;97.0;235875.9;230.35;2.95;7181.1;7.01;0.16;0.0;36.69867515563965;136.3003330230713
10-68-38-9B-8A-08;2025-11-10 19:38:58;31.4;68.6;18.9;10.6;(0.0, 0.05, 0.04);94.4;6998.29;6.83;5.6;414.96;0.41;62.0;8447.0;8.25;97.0;235876.65;230.35;2.95;7180.34;7.01;2.32;0.0;36.83406162261963;136.72455406188965
10-68-38-9B-8A-08;2025-11-10 19:39:23;20.0;80.0;10.4;8.1;(0.08, 0.06, 0.05);95.2;7058.8;6.89;4.78;354.44;0.35;61.6;8382.97;8.19;97.1;235908.96;230.38;2.94;7148.03;6.98;3.76;0.0;36.98376655578613;137.33213233947754
10-68-38-9B-8A-08;2025-11-10 19:39:49;28.5;71.5;17.3;9.6;(0.05, 0.06, 0.04);93.6;6942.39;6.78;6.35;470.85;0.46;62.2;8467.7;8.27;97.1;235917.32;230.39;2.94;7139.68;6.97;0.96;0.0;37.14744281768799;137.96406269073486
10-68-38-9B-8A-08;2025-11-10 19:40:14;26.3;73.7;14.5;10.7;(0.11, 0.07, 0.05);95.3;7065.87;6.9;4.69;347.38;0.34;61.4;8362.29;8.17;97.1;235916.18;230.39;2.94;7140.82;6.97;0.45;0.0;37.28916358947754;138.3939085006714
10-68-38-9B-8A-08;2025-11-10 19:41:49;39.1;60.9;13.9;21.8;(0.0, 0.0, 0.0);94.8;7029.97;6.87;5.17;383.27;0.37;62.2;8464.75;8.27;97.1;235947.87;230.42;2.92;7109.12;6.94;68.58;0.07;37.910789489746094;147.12833786010742
